rank,release_date,title,production_cost,domestic_gross,worldwide_gross,opening_weekend,rating,genre,theaters,runtime,year,profit
21,2013-12-12,The Hobbit: The Desolation of Smaug,250000000,258241522,959358436,73645197.0,PG-13,Adventure,3928.0,201.0,2013.0,709358436
22,2014-12-10,The Hobbit: The Battle of the Five Armies,250000000,255119788,940389558,54724334.0,PG-13,Adventure,3875.0,144.0,2014.0,690389558
23,2017-04-07,The Fate of the Furious,250000000,225764765,1236703796,98786705.0,PG-13,Action,4329.0,136.0,2017.0,986703796
24,2021-09-29,No Time to Die,250000000,160891007,760008036,55225007.0,PG-13,Action,4407.0,163.0,2021.0,510008036
25,2009-12-17,Avatar,237000000,785221649,2910370905,77025481.0,PG-13,Action,3461.0,162.0,2009.0,2673370905
26,2006-06-28,Superman Returns,232000000,200120000,391081192,52535096.0,PG-13,Adventure,4065.0,150.0,2006.0,159081192
27,2012-07-19,The Dark Knight Rises,230000000,448139099,1082228107,160887295.0,PG-13,Action,4404.0,164.0,2012.0,852228107
28,2017-05-23,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,794861794,62983253.0,PG-13,Adventure,4276.0,135.0,2017.0,564861794
29,2008-11-14,Quantum of Solace,230000000,169368427,591692078,67528882.0,PG-13,Action,3501.0,106.0,2008.0,361692078
30,2012-04-25,The Avengers,225000000,623357910,1515100211,207438708.0,PG-13,Action,4349.0,143.0,2012.0,1290100211
31,2006-07-06,Pirates of the Caribbean: Dead Man’s Chest,225000000,423315812,1066179725,135634554.0,PG-13,Adventure,4133.0,151.0,2006.0,841179725
32,2013-06-14,Man of Steel,225000000,291045518,667999518,116619362.0,PG-13,Action,4207.0,142.0,2013.0,442999518
33,2008-05-16,The Chronicles of Narnia: Prince Caspian,225000000,141621490,417341288,55034805.0,PG,Adventure,3929.0,144.0,2008.0,192341288
34,2013-07-02,The Lone Ranger,225000000,89302115,260002115,29210849.0,PG-13,Western,3904.0,149.0,2013.0,35002115
35,2012-06-27,The Amazing Spider-Man,220000000,262030663,757890267,62004688.0,PG-13,Adventure,4318.0,136.0,2012.0,537890267
36,2012-04-11,Battleship,220000000,65233400,313477717,25534825.0,PG-13,Action,3702.0,130.0,2012.0,93477717
37,2017-06-20,Transformers: The Last Knight,217000000,130168683,602893340,44680073.0,PG-13,Action,4132.0,148.0,2017.0,385893340
38,2015-06-09,Jurassic World,215000000,652306625,1669979967,208806270.0,PG-13,Action,4291.0,124.0,2015.0,1454979967
39,2012-05-23,Men in Black 3,215000000,179020854,654213485,54592779.0,PG-13,Adventure,4248.0,104.0,2012.0,439213485
40,2009-06-24,Transformers: Revenge of the Fallen,210000000,402111870,836519699,108966307.0,PG-13,Action,4293.0,149.0,2009.0,626519699
41,2014-06-25,Transformers: Age of Extinction,210000000,245439076,1104054072,100038390.0,PG-13,Action,4233.0,165.0,2014.0,894054072
42,2006-05-26,X-Men: The Last Stand,210000000,234362462,459260946,102750665.0,PG-13,Action,3714.0,104.0,2006.0,249260946
43,2010-05-14,Robin Hood,210000000,105487148,322459006,36063385.0,PG-13,Action,3505.0,139.0,2010.0,112459006
44,2005-12-14,King Kong,207000000,218080025,550517357,50130145.0,PG-13,Adventure,3627.0,189.0,2005.0,343517357
45,2007-12-07,The Golden Compass,205000000,70107728,367262558,25783232.0,PG-13,Adventure,3528.0,113.0,2007.0,162262558
46,2020-08-26,Tenet,205000000,58504105,362450957,20001852.0,PG-13,Action,2930.0,110.0,2020.0,157450957
47,2021-12-14,Spider-Man: No Way Home,200000000,814108407,1912775610,260138569.0,PG-13,Action,4336.0,148.0,2021.0,1712775610
48,2018-02-13,Black Panther,200000000,700059566,1336494321,202003951.0,PG-13,Action,4084.0,120.0,2018.0,1136494321
49,1997-12-18,Titanic,200000000,659363944,2207986545,28638131.0,PG-13,Drama,3265.0,194.0,1997.0,2007986545
50,2018-06-15,Incredibles 2,200000000,608581744,1242805359,182687905.0,PG,Adventure,4413.0,118.0,2018.0,1042805359
51,2016-12-14,Rogue One: A Star Wars Story,200000000,533539991,1055083596,155081681.0,PG-13,Adventure,4157.0,134.0,2016.0,855083596
52,2016-06-16,Finding Dory,200000000,486295561,1025006125,135060273.0,PG,Adventure,4305.0,103.0,2016.0,825006125
53,2019-06-20,Toy Story 4,200000000,434038008,1073080329,120908065.0,G,Adventure,4575.0,89.0,2019.0,873080329
54,2010-06-18,Toy Story 3,200000000,415004880,1068879522,110307189.0,G,Adventure,4028.0,102.0,2010.0,868879522
55,2022-05-04,Doctor Strange in the Multiverse of Madness,200000000,411331607,952224986,187420998.0,PG-13,Action,4534.0,126.0,2022.0,752224986
56,2013-04-24,Iron Man 3,200000000,408992272,1215392272,174144585.0,PG-13,Action,4253.0,130.0,2013.0,1015392272
57,2017-04-28,Guardians of the Galaxy Vol 2,200000000,389813101,869113101,146510104.0,PG-13,Action,4347.0,136.0,2017.0,669113101
58,2004-06-30,Spider-Man 2,200000000,373524485,794697557,88156227.0,PG-13,Adventure,4166.0,127.0,2004.0,594697557
59,2022-03-01,The Batman,200000000,369345583,767820302,134008624.0,PG-13,Action,4417.0,175.0,2022.0,567820302
60,2010-03-04,Alice in Wonderland,200000000,334191110,1025491110,116101023.0,PG,Adventure,3739.0,108.0,2010.0,825491110
61,2012-10-26,Skyfall,200000000,304360277,1110526981,88364714.0,PG-13,Action,3526.0,143.0,2012.0,910526981
62,2012-12-11,The Hobbit: An Unexpected Journey,200000000,303003568,1014938545,84617303.0,PG-13,Adventure,4100.0,169.0,2012.0,814938545
63,2013-06-21,Monsters University,200000000,268488329,743455810,82429469.0,G,Adventure,4004.0,102.0,2013.0,543455810
64,2013-03-08,Oz the Great and Powerful,200000000,234770996,490359051,79110453.0,PG,Adventure,3912.0,130.0,2013.0,290359051
65,2014-05-21,X-Men: Days of Future Past,200000000,233921534,747862775,90823660.0,PG-13,Action,4001.0,131.0,2014.0,547862775
66,2014-04-16,The Amazing Spider-Man 2,200000000,202853933,708996336,91608337.0,PG-13,Action,4324.0,141.0,2014.0,508996336
67,2011-06-23,Cars 2,200000000,191450875,560155383,66135507.0,G,Adventure,4115.0,107.0,2011.0,360155383
68,2021-07-07,Black Widow,200000000,183651655,379751655,80366312.0,PG-13,Action,4275.0,133.0,2021.0,179751655
69,2019-07-31,Fast & Furious Presents: Hobbs & Shaw,200000000,173956935,760381706,60038950.0,PG-13,Action,4344.0,134.0,2019.0,560381706
70,2021-05-20,F9: The Fast Saga,200000000,173005945,721077945,70043165.0,PG-13,Action,4203.0,145.0,2021.0,521077945
71,2010-12-17,Tron: Legacy,200000000,172062763,399866199,44026211.0,PG,Adventure,3451.0,125.0,2010.0,199866199
72,2009-11-12,2012,200000000,166112167,757677748,65237614.0,PG-13,Action,3444.0,158.0,2009.0,557677748
73,2021-11-03,Eternals,200000000,164870264,402064929,71297219.0,PG-13,Action,4090.0,156.0,2021.0,202064929
74,2018-11-14,Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,648455339,62163104.0,PG-13,Adventure,4163.0,134.0,2018.0,448455339
75,2009-05-21,Terminator Salvation,200000000,125322469,365491792,42558390.0,PG-13,Action,3602.0,116.0,2009.0,165491792
76,2022-06-15,Lightyear,200000000,118307188,218571346,50577961.0,PG,Adventure,4255.0,110.0,2022.0,18571346
77,2021-07-28,Jungle Cruise,200000000,116987516,210384144,35018731.0,PG-13,Adventure,4310.0,90.0,2021.0,10384144
78,2011-06-17,Green Lantern,200000000,116601172,219535492,53174303.0,PG-13,Action,3816.0,113.0,2011.0,19535492
80,2010-05-28,Prince of Persia: Sands of Time,200000000,90759676,336359676,30095259.0,PG-13,Action,3646.0,115.0,2010.0,136359676
